fecha,trm,variable,ipc
1995-01-01,,ipc,28.3051122562266
1996-01-01,,ipc,34.1918893516812
1997-01-01,,ipc,40.5071387386486
1998-01-01,,ipc,48.0726489101383
1999-01-01,,ipc,53.2999183264565
2000-01-01,,ipc,58.2170213748477
2001-01-01,,ipc,62.8543336684019
2002-01-01,,ipc,66.8465312520415
2003-01-01,,ipc,71.6125476364103
2004-01-01,,ipc,75.8405668110934
2005-01-01,,ipc,79.6712887258716
2006-01-01,,ipc,83.0919146673645
2007-01-01,,ipc,87.6988502025301
2008-01-01,,ipc,93.8350378585369
2009-01-01,,ipc,97.7784709125731
2010-01-01,,ipc,100.0
2011-01-01,,ipc,103.415033447762
2012-01-01,,ipc,106.692568055712
2013-01-01,,ipc,108.844548877364
2014-01-01,,ipc,111.999775887943
2015-01-01,,ipc,117.588375602644
2016-01-01,,ipc,126.423331457792
2017-01-01,,ipc,131.877630006753
2018-01-01,,ipc,136.151216036967
2019-01-01,,ipc,140.947849692459
2020-01-01,,ipc,144.50908739573
2021-01-01,,ipc,149.559763199865
2022-01-01,,ipc,164.780806314132
2023-01-01,,ipc,184.119324369034
2024-01-01,,ipc,196.287928743727
2021-01-01,,ipc_var_mensual,0.53
2021-02-01,,ipc_var_mensual,0.64
2021-03-01,,ipc_var_mensual,0.73
2021-04-01,,ipc_var_mensual,0.95
2021-05-01,,ipc_var_mensual,0.95
2021-06-01,,ipc_var_mensual,0.31
2021-07-01,,ipc_var_mensual,0.37
2021-08-01,,ipc_var_mensual,0.45
2021-09-01,,ipc_var_mensual,0.44
2021-10-01,,ipc_var_mensual,0.61
2021-11-01,,ipc_var_mensual,0.5
2021-12-01,,ipc_var_mensual,0.73
2022-01-01,,ipc_var_mensual,1.67
2022-02-01,,ipc_var_mensual,1.63
2022-03-01,,ipc_var_mensual,1.0
2022-04-01,,ipc_var_mensual,0.93
2022-05-01,,ipc_var_mensual,0.84
2022-06-01,,ipc_var_mensual,0.84
2022-07-01,,ipc_var_mensual,0.48
2022-08-01,,ipc_var_mensual,0.98
2022-09-01,,ipc_var_mensual,0.67
2022-10-01,,ipc_var_mensual,0.72
2022-11-01,,ipc_var_mensual,0.73
2022-12-01,,ipc_var_mensual,1.26
2023-01-01,,ipc_var_mensual,1.78
2023-02-01,,ipc_var_mensual,1.66
2023-03-01,,ipc_var_mensual,1.11
2023-04-01,,ipc_var_mensual,0.57
2023-05-01,,ipc_var_mensual,0.43
2023-06-01,,ipc_var_mensual,0.33
2023-07-01,,ipc_var_mensual,0.11
2023-08-01,,ipc_var_mensual,0.63
2023-09-01,,ipc_var_mensual,0.62
2023-10-01,,ipc_var_mensual,0.46
2023-11-01,,ipc_var_mensual,0.37
2023-12-01,,ipc_var_mensual,0.47
2024-01-01,,ipc_var_mensual,0.84
2024-02-01,,ipc_var_mensual,0.99
2024-03-01,,ipc_var_mensual,0.7
2024-04-01,,ipc_var_mensual,0.68
2024-05-01,,ipc_var_mensual,0.37
2024-06-01,,ipc_var_mensual,0.24
2024-07-01,,ipc_var_mensual,0.26
2024-08-01,,ipc_var_mensual,0.25
2024-09-01,,ipc_var_mensual,0.44
2024-10-01,,ipc_var_mensual,0.3
2024-11-01,,ipc_var_mensual,0.2
2024-12-01,,ipc_var_mensual,0.3
2025-01-01,,ipc_var_mensual,0.53
2025-02-01,,ipc_var_mensual,0.61
2025-03-01,,ipc_var_mensual,0.36
2025-04-01,,ipc_var_mensual,0.78
2025-12-01,,ipc_var_mensual,0.27
2025-01-03,4410.5,trm,
2025-01-04,4355.51,trm,
2025-01-08,4342.31,trm,
2025-01-09,4347.42,trm,
2025-01-10,4321.19,trm,
2025-01-11,4343.48,trm,
2025-01-14,4331.23,trm,
2025-01-15,4300.24,trm,
2025-01-16,4294.11,trm,
2025-01-17,4338.15,trm,
2025-01-18,4344.27,trm,
2025-01-22,4307.07,trm,
2025-01-23,4278.01,trm,
2025-01-24,4245.65,trm,
2025-01-25,4188.46,trm,
2025-01-28,4220.86,trm,
2025-01-29,4219.0,trm,
2025-01-30,4195.6,trm,
2025-01-31,4170.01,trm,
2025-02-01,4183.93,trm,
2025-02-04,4198.66,trm,
2025-02-05,4153.54,trm,
2025-02-06,4180.06,trm,
2025-02-07,4150.99,trm,
2025-02-08,4113.7,trm,
2025-02-11,4132.93,trm,
2025-02-12,4153.8,trm,
2025-02-13,4165.07,trm,
2025-02-14,4161.46,trm,
2025-02-15,4100.66,trm,
2025-02-19,4111.38,trm,
2025-02-20,4098.67,trm,
2025-02-21,4077.56,trm,
2025-02-22,4073.56,trm,
2025-02-25,4112.63,trm,
2025-02-26,4126.54,trm,
2025-02-27,4123.1,trm,
2025-02-28,4120.11,trm,
2025-03-01,4134.04,trm,
2025-03-04,4116.61,trm,
2025-03-05,4144.18,trm,
2025-03-06,4125.63,trm,
2025-03-07,4104.56,trm,
2025-03-08,4116.8,trm,
2025-03-11,4161.96,trm,
2025-03-12,4152.76,trm,
2025-03-13,4110.08,trm,
2025-03-14,4114.18,trm,
2025-03-15,4102.67,trm,
2025-03-18,4076.7,trm,
2025-03-19,4126.03,trm,
2025-03-20,4143.14,trm,
2025-03-21,4187.72,trm,
2025-03-22,4168.82,trm,
2025-03-26,4107.14,trm,
2025-03-27,4131.42,trm,
2025-03-28,4152.59,trm,
2025-03-29,4192.57,trm,
2025-04-01,4191.79,trm,
2025-04-02,4149.24,trm,
2025-04-03,4146.07,trm,
2025-04-04,4130.01,trm,
2025-04-05,4274.03,trm,
2025-04-08,4374.53,trm,
2025-04-09,4387.98,trm,
2025-04-10,4416.69,trm,
2025-04-11,4351.55,trm,
2025-04-12,4338.36,trm,
2025-04-15,4286.17,trm,
2025-04-16,4329.9,trm,
2025-04-17,4306.54,trm,
2025-04-22,4272.83,trm,
2025-04-23,4283.22,trm,
2025-04-24,4298.31,trm,
2025-04-25,4274.57,trm,
2025-04-26,4239.62,trm,
2025-04-29,4227.32,trm,
2025-04-30,4198.83,trm,
2025-05-01,4222.25,trm,
2025-05-03,4243.8,trm,
2025-05-06,4283.62,trm,
2025-05-07,4305.02,trm,
2025-05-08,4306.79,trm,
2025-05-09,4260.22,trm,
2025-05-10,4239.23,trm,
2025-05-13,4218.6,trm,
2025-05-14,4204.63,trm,
2025-05-15,4194.18,trm,
2025-05-16,4196.66,trm,
2025-05-17,4194.28,trm,
2025-05-20,4168.03,trm,
2025-05-21,4172.76,trm,
2025-05-22,4169.47,trm,
2025-05-23,4176.54,trm,
2025-05-24,4165.41,trm,
2025-05-28,4128.15,trm,
2025-05-29,4126.44,trm,
2025-05-30,4106.79,trm,
2025-05-31,4148.72,trm,
2025-06-04,4136.71,trm,
2025-06-05,4107.85,trm,
2025-06-06,4097.66,trm,
2025-06-07,4138.72,trm,
2025-06-10,4138.53,trm,
2025-06-11,4190.9,trm,
2025-06-12,4190.61,trm,
2025-06-13,4169.13,trm,
2025-06-14,4147.34,trm,
2025-06-17,4096.44,trm,
2025-06-18,4098.83,trm,
2025-06-19,4076.32,trm,
2025-06-21,4080.06,trm,
2025-06-25,4081.15,trm,
2025-06-26,4067.64,trm,
2025-06-27,4042.87,trm,
2025-06-28,4069.67,trm,
2025-07-02,4047.71,trm,
2025-07-03,4006.46,trm,
2025-07-04,3974.37,trm,
2025-07-08,4022.29,trm,
2025-07-09,4054.13,trm,
2025-07-10,4026.09,trm,
2025-07-11,4013.5,trm,
2025-07-12,4003.9,trm,
2025-07-15,4011.79,trm,
2025-07-16,4015.04,trm,
2025-07-17,4031.86,trm,
2025-07-18,4016.44,trm,
2025-07-19,4000.61,trm,
2025-07-22,4026.27,trm,
2025-07-23,4061.36,trm,
2025-07-24,4052.86,trm,
2025-07-25,4063.31,trm,
2025-07-26,4110.48,trm,
2025-07-29,4170.59,trm,
2025-07-30,4154.79,trm,
2025-07-31,4179.69,trm,
2025-08-01,4186.71,trm,
2025-08-02,4129.42,trm,
2025-08-05,4097.38,trm,
2025-08-06,4093.12,trm,
2025-08-07,4049.35,trm,
2025-08-09,4034.74,trm,
2025-08-12,4045.87,trm,
2025-08-13,4017.12,trm,
2025-08-14,4020.64,trm,
2025-08-15,4048.74,trm,
2025-08-16,4019.24,trm,
2025-08-20,4036.42,trm,
2025-08-21,4025.51,trm,
2025-08-22,4034.18,trm,
2025-08-23,4008.7,trm,
2025-08-26,4017.44,trm,
2025-08-27,4044.51,trm,
2025-08-28,4051.97,trm,
2025-08-29,4019.09,trm,
